card_id,owner_id,level,test_mode,is_public,answer,public_url
55c2720a-b131-4e64-95ab-bb47635a24fc,usyeo7d2yzf2773,1,image_to_text,1,The Eiffel Tower,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/55c2720a-b131-4e64-95ab-bb47635a24fc/global_1776346555813.jpg
8132de06-6ee8-479e-8f28-03d7b610d68f,usyeo7d2yzf2773,2,image_to_text,1,Notre-Dame de Paris,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/8132de06-6ee8-479e-8f28-03d7b610d68f/global_1776346555813.jpg
3db20723-17bb-4a5d-b271-61aa75642068,usyeo7d2yzf2773,3,image_to_text,1,Palace of Versailles,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/3db20723-17bb-4a5d-b271-61aa75642068/global_1776346555813.jpg
62c29eb2-c55d-4d77-ac50-f0bece551d76,usyeo7d2yzf2773,4,image_to_text,1,Louvre Museum,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/62c29eb2-c55d-4d77-ac50-f0bece551d76/global_1776346555813.jpg
636874f2-b108-48d7-8a3e-f8e3b7ea71a2,usyeo7d2yzf2773,5,image_to_text,1,The Basilica of the Sacred Heart of Paris,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/636874f2-b108-48d7-8a3e-f8e3b7ea71a2/global_1776346555813.jpg
1477a01c-5a1a-4c02-81a0-d13e862a918d,usyeo7d2yzf2773,6,image_to_text,1,Disneyland Paris,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/1477a01c-5a1a-4c02-81a0-d13e862a918d/global_1776346555813.jpg
4a227068-5b04-4858-aa8d-914bdac61584,usyeo7d2yzf2773,7,image_to_text,1,Arc de Triomphe,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/4a227068-5b04-4858-aa8d-914bdac61584/global_1776346555813.jpg
9703fba2-71c1-4070-92c8-9cb69ad8ba2c,usyeo7d2yzf2773,8,image_to_text,1,Musée d’Orsay,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9703fba2-71c1-4070-92c8-9cb69ad8ba2c/global_1776346555813.jpg
78628314-31a1-493c-8f96-8640da454093,usyeo7d2yzf2773,9,image_to_text,1,Sainte-Chapelle,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/78628314-31a1-493c-8f96-8640da454093/global_1776346555813.jpg
f8c1cc68-07a7-4af3-8828-99500fab8761,usyeo7d2yzf2773,10,image_to_text,1,Palais Garnier,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f8c1cc68-07a7-4af3-8828-99500fab8761/global_1776346555813.jpg
1e96eff8-0fa5-4473-9e9f-9e65d714df36,usyeo7d2yzf2773,11,image_to_text,1,Verdon Gorge,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/1e96eff8-0fa5-4473-9e9f-9e65d714df36/global_1776346555813.jpg
12eca909-43cb-4a81-9292-19e078beea32,usyeo7d2yzf2773,12,image_to_text,1,Alcatraz Island,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/12eca909-43cb-4a81-9292-19e078beea32/global_1776346555813.jpg
efcba9e4-2be4-469b-acb8-ef3f58e4df39,usyeo7d2yzf2773,13,image_to_text,1,Statue of Liberty,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/efcba9e4-2be4-469b-acb8-ef3f58e4df39/global_1776346555813.jpg
30769c68-a87c-4123-a94f-8061422fc981,usyeo7d2yzf2773,14,image_to_text,1,The Alamo,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/30769c68-a87c-4123-a94f-8061422fc981/global_1776346555813.jpg
041b5c80-86ff-4b38-9f66-5ee671cc34d5,usyeo7d2yzf2773,15,image_to_text,1,Biltmore,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/041b5c80-86ff-4b38-9f66-5ee671cc34d5/global_1776346555813.jpg
694d5e79-2cf5-4587-ae33-d6908dbde41d,usyeo7d2yzf2773,16,image_to_text,1,Castillo de San Marcos National Monument,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/694d5e79-2cf5-4587-ae33-d6908dbde41d/global_1776346555813.jpg
61f80aaa-8495-45ac-b252-0477483a6adb,usyeo7d2yzf2773,17,image_to_text,1,Liberty Bell,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/61f80aaa-8495-45ac-b252-0477483a6adb/global_1776346555813.jpg
fcf2b550-e082-4be2-8803-0f34fb414d0c,usyeo7d2yzf2773,18,image_to_text,1,Henry Ford Museum of American Innovation,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/fcf2b550-e082-4be2-8803-0f34fb414d0c/global_1776346555813.jpg
f6bb505d-0287-42bb-8e80-48c1a77f6006,usyeo7d2yzf2773,19,image_to_text,1,Grand Canyon,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f6bb505d-0287-42bb-8e80-48c1a77f6006/global_1776346555813.jpg
ea1c90e4-a123-4f1c-b7ee-4a8621b3f2d1,usyeo7d2yzf2773,20,image_to_text,1,Oak Alley Plantation,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ea1c90e4-a123-4f1c-b7ee-4a8621b3f2d1/global_1776346555813.jpg
86230ce4-34c2-48bd-bfe5-3dd3bf37c74d,usyeo7d2yzf2773,21,image_to_text,1,Crazy Horse Memorial,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/86230ce4-34c2-48bd-bfe5-3dd3bf37c74d/global_1776346555813.jpg
48dd4fe4-295d-4c09-b262-3712597f769e,usyeo7d2yzf2773,22,image_to_text,1,Colosseum,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/48dd4fe4-295d-4c09-b262-3712597f769e/global_1776346555813.jpg
a1912eef-e42f-4da7-8099-9a956ef420a0,usyeo7d2yzf2773,23,image_to_text,1,Pantheon,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a1912eef-e42f-4da7-8099-9a956ef420a0/global_1776346555813.jpg
cf0b3054-2ea3-4834-b194-a94bcd7b5440,usyeo7d2yzf2773,24,image_to_text,1,Uffizi Gallery,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/cf0b3054-2ea3-4834-b194-a94bcd7b5440/global_1776346555813.jpg
33355da6-f610-4f00-ae0e-3dc370226fc6,usyeo7d2yzf2773,25,image_to_text,1,Trevi Fountain,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/33355da6-f610-4f00-ae0e-3dc370226fc6/global_1776346555813.jpg
e538b407-899f-457f-b5a4-4e81ce1cda7e,usyeo7d2yzf2773,26,image_to_text,1,Leaning Tower of Pisa,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e538b407-899f-457f-b5a4-4e81ce1cda7e/global_1776346555813.jpg
cc2da3ad-26d0-42f6-8037-789bff826545,usyeo7d2yzf2773,27,image_to_text,1,Duomo di Milano,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/cc2da3ad-26d0-42f6-8037-789bff826545/global_1776346555813.jpg
2d08a5a4-75ed-4550-a175-a55e546856b2,usyeo7d2yzf2773,28,image_to_text,1,Galleria Vittorio Emanuele II,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/2d08a5a4-75ed-4550-a175-a55e546856b2/global_1776346555813.jpg
6ad47a7b-5916-4e08-83ff-fe2da3f94307,usyeo7d2yzf2773,29,image_to_text,1,Teatro alla Scala,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6ad47a7b-5916-4e08-83ff-fe2da3f94307/global_1776346555813.jpg
1df90a2b-3ff2-4402-8ff3-cf16d8f38225,usyeo7d2yzf2773,30,image_to_text,1,Basilica Papale di Santa Maria Maggiore,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/1df90a2b-3ff2-4402-8ff3-cf16d8f38225/global_1776346555813.jpg
44d446a0-36f8-426e-beab-27250acbb372,usyeo7d2yzf2773,31,image_to_text,1,Blue Grotto,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/44d446a0-36f8-426e-beab-27250acbb372/global_1776346555813.jpg
8b30e9c0-903e-4b41-ad6e-8929072c14b5,usyeo7d2yzf2773,32,image_to_text,1,Villa del Balbianello,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/8b30e9c0-903e-4b41-ad6e-8929072c14b5/global_1776346555813.jpg
e8704dbd-d2c1-40dd-8bb8-5a1bcd9a2579,usyeo7d2yzf2773,33,image_to_text,1,Duomo di Siena,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e8704dbd-d2c1-40dd-8bb8-5a1bcd9a2579/global_1776346555813.jpg
d035269c-f1b0-471a-b5b9-bbf7c974ba0d,usyeo7d2yzf2773,34,image_to_text,1,Pragser Wildsee,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/d035269c-f1b0-471a-b5b9-bbf7c974ba0d/global_1776346555813.jpg
5fe1b09d-163b-4fdb-828e-f7271b39478b,usyeo7d2yzf2773,35,image_to_text,1,La Sagrada Familia,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/5fe1b09d-163b-4fdb-828e-f7271b39478b/global_1776346555813.jpg
d6b0dca0-edf6-4814-aac7-7e7e5e0deeb5,usyeo7d2yzf2773,36,image_to_text,1,Alhambra,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/d6b0dca0-edf6-4814-aac7-7e7e5e0deeb5/global_1776346555813.jpg
e49f49b8-0eb0-43d7-b84d-225b7acf0e7f,usyeo7d2yzf2773,37,image_to_text,1,Royal Alcázar of Seville,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e49f49b8-0eb0-43d7-b84d-225b7acf0e7f/global_1776346555813.jpg
52a97c69-fe77-4ada-a28c-62c137df4fea,usyeo7d2yzf2773,38,image_to_text,1,Plaza de España,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/52a97c69-fe77-4ada-a28c-62c137df4fea/global_1776346555813.jpg
27099a06-0675-45f8-9519-8a295e59e32f,usyeo7d2yzf2773,39,image_to_text,1,Guggenheim Museum Bilbao,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/27099a06-0675-45f8-9519-8a295e59e32f/global_1776346555813.jpg
4109d55a-55ed-4f38-b986-764a641d0588,usyeo7d2yzf2773,40,image_to_text,1,Mosque-Cathedral of Córdoba,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/4109d55a-55ed-4f38-b986-764a641d0588/global_1776346555813.jpg
fff310b8-819d-4abd-b9a0-c5a4f026891f,usyeo7d2yzf2773,41,image_to_text,1,Catedral de Sevilla,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/fff310b8-819d-4abd-b9a0-c5a4f026891f/global_1776346555813.jpg
99afc677-b487-4906-9600-9dbbf9b43db2,usyeo7d2yzf2773,42,image_to_text,1,Alcazaba,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/99afc677-b487-4906-9600-9dbbf9b43db2/global_1776346555813.jpg
f8af683e-516b-4d3a-899f-81002db9289f,usyeo7d2yzf2773,43,image_to_text,1,Cathedral of Santiago de Compostela,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f8af683e-516b-4d3a-899f-81002db9289f/global_1776346555813.jpg
d841d4fd-6e95-4b88-a463-d84aedd28a7a,usyeo7d2yzf2773,44,image_to_text,1,Tibidabo,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/d841d4fd-6e95-4b88-a463-d84aedd28a7a/global_1776346555813.jpg
9df9aeae-fc8a-4b07-af41-ceef00cc0156,usyeo7d2yzf2773,45,image_to_text,1,Drach Caves,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9df9aeae-fc8a-4b07-af41-ceef00cc0156/global_1776346555813.jpg
cb9d9160-3565-40a6-9158-2c77222bb665,usyeo7d2yzf2773,46,image_to_text,1,Great Wall of China,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/cb9d9160-3565-40a6-9158-2c77222bb665/global_1776346555813.jpg
c2276345-dc76-4810-b045-d6e04ed3ea51,usyeo7d2yzf2773,47,image_to_text,1,Forbidden City,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/c2276345-dc76-4810-b045-d6e04ed3ea51/global_1776346555813.jpg
2e75c88b-99a0-4289-bed2-679f15d51ee1,usyeo7d2yzf2773,48,image_to_text,1,Emperor Qinshihuang’s Mausoleum Site,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/2e75c88b-99a0-4289-bed2-679f15d51ee1/global_1776346555813.jpg
7035a808-d5de-4ae0-b369-3215b5a5cf9d,usyeo7d2yzf2773,49,image_to_text,1,Potala Palace,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/7035a808-d5de-4ae0-b369-3215b5a5cf9d/global_1776346555813.jpg
b9b445c8-5f91-4f95-afed-cdd12201a2ae,usyeo7d2yzf2773,50,image_to_text,1,Temple of Heaven,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/b9b445c8-5f91-4f95-afed-cdd12201a2ae/global_1776346555813.jpg
c615d6fa-f75f-42a9-a9fb-34eea696dfa4,usyeo7d2yzf2773,51,image_to_text,1,Kangrinboqe Peak,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/c615d6fa-f75f-42a9-a9fb-34eea696dfa4/global_1776346555813.jpg
95e5579b-056c-4cc7-a10e-eab65c144738,usyeo7d2yzf2773,52,image_to_text,1,Shanghai Disneyland Park,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/95e5579b-056c-4cc7-a10e-eab65c144738/global_1776346555813.jpg
73924320-84df-43eb-a97d-ebc8b379ece7,usyeo7d2yzf2773,53,image_to_text,1,Jiuzhai Valley National Park,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/73924320-84df-43eb-a97d-ebc8b379ece7/global_1776346555813.jpg
f4bb06da-a386-4d59-a371-6aa050cc2ced,usyeo7d2yzf2773,54,image_to_text,1,Zhangjiajie National Forest Park,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f4bb06da-a386-4d59-a371-6aa050cc2ced/global_1776346555813.jpg
ffbcdbfd-e357-4b2d-a2a6-be7939bd5ef0,usyeo7d2yzf2773,55,image_to_text,1,Huashan Mountain,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ffbcdbfd-e357-4b2d-a2a6-be7939bd5ef0/global_1776346555813.jpg
8f7f7d71-59cb-49d6-a1b7-d5560fb7a9c1,usyeo7d2yzf2773,56,image_to_text,1,National Museum of China,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/8f7f7d71-59cb-49d6-a1b7-d5560fb7a9c1/global_1776346555813.jpg
89b379bd-36d5-4159-b483-a528a50caacc,usyeo7d2yzf2773,57,image_to_text,1,Mount Everest,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/89b379bd-36d5-4159-b483-a528a50caacc/global_1776346555813.jpg
117f4427-25c2-4e5b-87ae-b547e8f3de5a,usyeo7d2yzf2773,58,image_to_text,1,Mount Fuji,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/117f4427-25c2-4e5b-87ae-b547e8f3de5a/global_1776346555813.jpg
333b713e-8e6c-4b44-a2ef-6c3c345b1da8,usyeo7d2yzf2773,59,image_to_text,1,Dotonbori,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/333b713e-8e6c-4b44-a2ef-6c3c345b1da8/global_1776346555813.jpg
b6bf655d-e405-4cc7-a323-be54105a1468,usyeo7d2yzf2773,60,image_to_text,1,Tokyo Tower,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/b6bf655d-e405-4cc7-a323-be54105a1468/global_1776346555813.jpg
c1e675a0-6576-456c-aa6b-9df54a06742f,usyeo7d2yzf2773,61,image_to_text,1,Kobe Port Tower,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/c1e675a0-6576-456c-aa6b-9df54a06742f/global_1776346555813.jpg
38edabb7-f254-4f86-927d-e9d7bcc7e65a,usyeo7d2yzf2773,62,image_to_text,1,Tokyo Imperial Palace,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/38edabb7-f254-4f86-927d-e9d7bcc7e65a/global_1776346555813.jpg
970a50d7-20f6-41dd-98c0-507fd732c7a2,usyeo7d2yzf2773,63,image_to_text,1,Hells of Beppu,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/970a50d7-20f6-41dd-98c0-507fd732c7a2/global_1776346555813.jpg
c27b424d-fb67-4246-8b83-2640e00c6e2c,usyeo7d2yzf2773,64,image_to_text,1,Gyeongbokgung Palace,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/c27b424d-fb67-4246-8b83-2640e00c6e2c/global_1776346555813.jpg
bbe820fe-e192-4e17-9fcc-fb3db4674c64,usyeo7d2yzf2773,65,image_to_text,1,Dongdaemun Design Plaza,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/bbe820fe-e192-4e17-9fcc-fb3db4674c64/global_1776346555813.jpg
ae3104bd-c2b0-40af-b7bb-59252d04bd21,usyeo7d2yzf2773,66,image_to_text,1,National Museum of Korea,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ae3104bd-c2b0-40af-b7bb-59252d04bd21/global_1776346555813.jpg
d7c5c649-e34e-4937-8797-ba7942ae80de,usyeo7d2yzf2773,67,image_to_text,1,Great Sphinx of Giza,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/d7c5c649-e34e-4937-8797-ba7942ae80de/global_1776346555813.jpg
076effd8-9873-4cc8-8309-4c0609b05af4,usyeo7d2yzf2773,68,image_to_text,1,Abu Simbel Temples,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/076effd8-9873-4cc8-8309-4c0609b05af4/global_1776346555813.jpg
98555e54-6f13-4170-a3e8-fc77a0c847cf,usyeo7d2yzf2773,69,image_to_text,1,Luxor Temple,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/98555e54-6f13-4170-a3e8-fc77a0c847cf/global_1776346555813.jpg
33239421-a01d-471b-baad-cb064f467659,usyeo7d2yzf2773,70,image_to_text,1,Mortuary Temple of Hatshepsut,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/33239421-a01d-471b-baad-cb064f467659/global_1776346555813.jpg
a7f704a8-3ecd-4c77-828f-455d07d11e39,usyeo7d2yzf2773,71,image_to_text,1,Acropolis of Athens,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a7f704a8-3ecd-4c77-828f-455d07d11e39/global_1776346555813.jpg
e235fc68-125b-4fff-9a4a-c1b64612a4fe,usyeo7d2yzf2773,72,image_to_text,1,Delphi,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e235fc68-125b-4fff-9a4a-c1b64612a4fe/global_1776346555813.jpg
518cfa57-af32-4524-b377-3c3b8cef8486,usyeo7d2yzf2773,73,image_to_text,1,Museum of the Royal Tombs at Aigai,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/518cfa57-af32-4524-b377-3c3b8cef8486/global_1776346555813.jpg
700f5405-2104-4d02-8073-3ade07673347,usyeo7d2yzf2773,74,image_to_text,1,Sydney Opera House,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/700f5405-2104-4d02-8073-3ade07673347/global_1776346555813.jpg
5f087767-7243-4d11-a48f-769db152cb0e,usyeo7d2yzf2773,75,image_to_text,1,Uluru,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/5f087767-7243-4d11-a48f-769db152cb0e/global_1776346555813.jpg
4826847f-010e-43f9-9da1-d2104638c2d2,usyeo7d2yzf2773,76,image_to_text,1,Twelve Apostles,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/4826847f-010e-43f9-9da1-d2104638c2d2/global_1776346555813.jpg
a6a97a7f-4b4e-4ac8-bc6b-df560ce010fb,usyeo7d2yzf2773,77,image_to_text,1,Neuschwanstein Castle,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a6a97a7f-4b4e-4ac8-bc6b-df560ce010fb/global_1776346555813.jpg
f2e6e0e2-d215-447a-869b-9388debab22a,usyeo7d2yzf2773,78,image_to_text,1,Brandenburg Gate,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f2e6e0e2-d215-447a-869b-9388debab22a/global_1776346555813.jpg
3b68b438-9610-41cf-b45f-26388568d800,usyeo7d2yzf2773,79,image_to_text,1,Cologne Cathedral,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/3b68b438-9610-41cf-b45f-26388568d800/global_1776346555813.jpg
27c36a86-c41a-4cbc-ad1a-b45c6a5a00c5,usyeo7d2yzf2773,80,image_to_text,1,Burj Khalifa,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/27c36a86-c41a-4cbc-ad1a-b45c6a5a00c5/global_1776346555813.jpg
a45709ba-a215-416a-9077-837be353a532,usyeo7d2yzf2773,81,image_to_text,1,Burj Al Arab,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a45709ba-a215-416a-9077-837be353a532/global_1776346555813.jpg
0b246366-59c4-4002-b0b0-b1dc23ec25cc,usyeo7d2yzf2773,82,image_to_text,1,Dubai Aquarium & Underwater Zoo,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/0b246366-59c4-4002-b0b0-b1dc23ec25cc/global_1776346555813.jpg
6b29d42d-3dc5-4342-8ce3-18040b48b045,usyeo7d2yzf2773,83,image_to_text,1,Royal Ontario Museum,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6b29d42d-3dc5-4342-8ce3-18040b48b045/global_1776346555813.jpg
abd34d14-7405-455d-a7d5-98f7b8f9a6bb,usyeo7d2yzf2773,84,image_to_text,1,CN Tower (Canada National),https://aliolo.com/storage/v1/object/public/aliolo-media/cards/abd34d14-7405-455d-a7d5-98f7b8f9a6bb/global_1776346555813.jpg
6f0f7269-934f-413b-b3d0-35bed600235d,usyeo7d2yzf2773,85,image_to_text,1,Moraine Lake,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6f0f7269-934f-413b-b3d0-35bed600235d/global_1776346555813.jpg
3226e9eb-9752-4c94-9681-89d958b33a6c,usyeo7d2yzf2773,86,image_to_text,1,Christ the Redeemer,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/3226e9eb-9752-4c94-9681-89d958b33a6c/global_1776346555813.jpg
bb29c430-0e68-4601-99bf-218df3f49473,usyeo7d2yzf2773,87,image_to_text,1,Museu do Amanhã,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/bb29c430-0e68-4601-99bf-218df3f49473/global_1776346555813.jpg
9ef693a9-56d1-4981-a1cb-d40c8beda512,usyeo7d2yzf2773,88,image_to_text,1,Salt Cathedral,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9ef693a9-56d1-4981-a1cb-d40c8beda512/global_1776346555813.jpg
38fa14cf-e430-4e90-963a-7f4e67d22a7a,usyeo7d2yzf2773,89,image_to_text,1,Plaza de Bolívar,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/38fa14cf-e430-4e90-963a-7f4e67d22a7a/global_1776346555813.jpg
018f1788-394a-426f-9cf4-cd47d8793a51,usyeo7d2yzf2773,90,image_to_text,1,The Little Mermaid,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/018f1788-394a-426f-9cf4-cd47d8793a51/global_1776346555813.jpg
91a2c6cd-6367-4e4d-bf5b-bf73fa0eaffa,usyeo7d2yzf2773,91,image_to_text,1,Tivoli Gardens,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/91a2c6cd-6367-4e4d-bf5b-bf73fa0eaffa/global_1776346555813.jpg
78d2a555-bfe5-4537-a798-28b29434c833,usyeo7d2yzf2773,92,image_to_text,1,Amalienborg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/78d2a555-bfe5-4537-a798-28b29434c833/global_1776346555813.jpg
557053dd-ed9e-42b7-8ce4-fc0b12d19b93,usyeo7d2yzf2773,93,image_to_text,1,Tower of London,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/557053dd-ed9e-42b7-8ce4-fc0b12d19b93/global_1776346555813.jpg
009ab84c-3d72-472e-8f2d-a8b3ff05d713,usyeo7d2yzf2773,94,image_to_text,1,Buckingham Palace,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/009ab84c-3d72-472e-8f2d-a8b3ff05d713/global_1776346555813.jpg
e566d0fa-bc4d-4430-a25c-12e9871fb7e6,usyeo7d2yzf2773,95,image_to_text,1,The British Museum,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e566d0fa-bc4d-4430-a25c-12e9871fb7e6/global_1776346555813.jpg
